id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,industry,company_size,annual_revenue
2239,IQ Field Marketing Ltd,Unit 4 Riverside Business Centre,,Walnut Tree Close,GU1 4UG,Guildford,Surrey,England,South East England,,,1483504900,Single Site,,,,Marketing & Advertising,20,5000000
7237,A Quiet Place,Nugent Care Central Office,99 Edge Lane,,L7 2PE,Liverpool,Merseyside,England,North West England,England,aquietplace.co.uk,,Head office,penny@aquietplace.co.uk,9/15/2005,20,Alternative Medicine Massages,100,12000000
2601,LoudHouse,Lower ground floor Prospero House,,241 Borough High St,SE1 1GA,London,London,England,London,,loudhouse.io,,Branch,,7/14/2017,8,Digital Marketing,50,8000000
815,Cakes & Bakes Edmonton,Unit 4 The Concourse,,edmonton green shopping centre,N9 0TY,London,London,England,London,,cakesandbakes.co.uk,,Branch,,4/14/2022,3,Baked Goods Manufacturing,50,12000000
5553,The Fragrance Shop,Unit 5 Cornmarket Marketgate Shopping Centre,,9 Market St,LA1 1AL,Lancaster,Lancashire,England,North West England,,thefragranceshop.co.uk,1524884787,Branch,,9/22/2009,16,Cosmetic Products Manufacturers,50,12000000
904,Central Computer Support Systems Ltd,Unit 6 Washington Industrial Centre,,Halesowen Rd,DY2 9RE,Dudley,West Midlands,England,West Midlands,,,1384468687,Single Site,,,,IT Consultancy Services,100,3000000
1637,familycares,Unit C 43-49 Fowler Road,,Hainault Business Park,IG6 3UT,Ilford,Essex,England,East of England,,,2079980480,Single Site,,,,"Electrical Goods Sales, Manufacturers & Wholesalers",50,3000000
2200,Infacol,Teva UK Ridings Point,,Whistler,WF10 5HX,Castleford,West Yorkshire,England,Yorkshire And The Humber,,infacol.co.uk,,Single Site,,,,Alternative Medicine Massages,50,12000000
5844,Hairology Hairloss Clinic,542a,,Chorley Old Road,BL1 6AB,Bolton,Lancashire,England,North West England,,,,Single Site,,3/24/2017,8,Wellness Center,,5000000
6637,EE,44 The Mercat Centre,,,KY1 1NU,Kirkcaldy,Fife,Scotland,Scotland,,shop.ee.co.uk,8450971151,Branch,,,,Mobile Phones,,8000000
2402,Kendal MOT and Service Centre,Unit 10 Dockray Hall Industrial Estate,,Dockray Hall Rd,LA9 4RU,Kendal,Cumbria,England,North West England,,,1539738341,Single Site,,,,MOT Testing Centres/Garages,50,12000000
4787,X-ray Touring,Unit A5 tileyard studios,,105 Blundell St,N7 9BN,London,London,England,London,,xraytouring.com,2077493500,Head Office,info@xraytouring.com,,,Concert Organisers,,12000000
3076,NWF Fuels Mansfield,NWF Fuels Ltd Nunn Brook Rd,,Huthwaite,NG17 2HU,Sutton In Ashfield,Nottinghamshire,England,East Midlands,,nwffuels.co.uk,1159619414,Branch,,,,Fuel Dealers,200,3000000
7167,A G Price Florist,"217-219,well Street",Hackney,,E9 6QU,London,London,England,London,,agpriceflowers.co.uk,2089864946,Branch,agpriceflorist@aol.com,,,Florists,200,
5278,Menkind,Unit SU48 West Quay Shopping Centre,,Portland Terrace,SO15 1QD,Southampton,Hampshire,England,South East England,,menkind.co.uk,2380231862,Branch,enquiries@menkind.co.uk,,,Gift & Specialty Shops,,12000000
6470,EE,Unit 146 Level 1 Mall,South,Derbion Shopping Center,DE1 2PQ,Derby,Derbyshire,England,East Midlands,United Kingdom,ee.co.uk,1332374650,Branch,,05-10-1989,36,,20,
1800,G&R AUTO REPAIRS LTD,Unit 14 Barking Industrial Park,,Alfreds Way,IG11 0TJ,Barking,Essex,England,East of England,England,grautorepairs2020.wixsite.com,2074760890,Single Site,,11/28/2019,6,Garage Mechanics/Vehicle Repairs & Services,,8000000
1930,GSF Car Parts (Doncaster),Unit 12 Wheatley Hall Trade Park,,Wheatley Hall Rd,DN2 4NH,Doncaster,South Yorkshire,England,Yorkshire And The Humber,,,1302762762,Single Site,,,,Auto Parts & Supplies,50,8000000
5663,Wickes Haverfordwest,Unit B Springfield Retail Park,,Fishguard Rd,SA61 2AT,Haverfordwest,Dyfed,Wales,Wales,United Kingdom,wickes.co.uk,1437823300,Branch,,8/13/1984,41,Home Improvement & Hardware Retail,,5000000
1545,EROS SONG,Block D 18 Riverstone Heights,,Reed Venue,E3 3ZE,London,London,England,London,,erossong.com,,Single Site,,12/24/2022,2,Sex Shops/Adult Entertainment Stores,100,3000000
5110,Greggs,U21 Springburn Shopping Centre,,Springburn Way,G21 1TS,Glasgow,Lanarkshire,Scotland,Scotland,United Kingdom,greggs.co.uk,1417267391,Branch,enquiries@greggs.co.uk,12/29/1951,73,Restaurants & Take Away Menus,50,12000000
429,Arnolds Produce,Hillcrest Barningham Rd,,Stanton,IP31 2DU,Bury St Edmunds,Suffolk,England,East of England,,arnoldsproduce.co.uk,1359251999,Single Site,info@arnoldsproduce.co.uk,,,Wholesale Fruit & Vegetables,50,3000000
3600,Ruach Karate Kings Heath,Cocks Moors Woods Leisure Centre,,Rd,B14 6ER,Birmingham,West Midlands,England,West Midlands,,ruachkarate.co.uk,1218090601,Single Site,,,,Martial Arts Instruction,,
7251,A S Networking Ltd,"29,park Grove",Westbury-on-trym,,BS9 4LF,Bristol,Avon,England,South West England,,asnetworking.co.uk,,Single Site,,3/27/2015,10,Computer Networking & Cabling,50,3000000
5655,what2buy4kids,Unit 1B Bank Quay Trading Estate,,Slutchers Ln,WA1 1PJ,Warrington,Cheshire,England,North West England,,,1925234155,Single Site,,,,Toy Shops,100,3000000
2651,M.MILLS Building Contractors Ltd,Bizspace Atlantic Business Centre,,Atlantic St,WA14 5NQ,Altrincham,Cheshire,England,North West England,United Kingdom,builderincheshire.com,1625460253,Single Site,info@builderincheshire.com,05-04-2001,24,Home/House Builders,20,3000000
5749,Bristol City Supporters Club & Trust,Ashton Gate Stadium,,Ashton Road,BS3 2EJ,Bristol,Avon,England,South West England,United Kingdom,bristolcitysupporters.org,1173706146,Branch,info@bristolcitysupporters.org,01-01-1900,125,Fan Clubs,,12000000
4481,Trident Gym Weston-super-mare,Unit A Winterstoke Trading Estate,,Phillips Rd,BS23 3YR,Weston Super Mare,Avon,England,South West England,,tridentgym.uk,1934910677,Branch,,,,"Health Clubs, Gymnasiums & Beauty Centres",20,5000000
1569,Eurocell Hastings,Unit A1 Castleham Industrial Estate,,Maunsell Rd,TN38 9NN,St Leonards On Sea,East Sussex,England,South East England,,,3332341197,Single Site,,,,Builders Merchants,200,
6742,1 Space Projects Ltd,"42,maltlands",,,BS22 8NZ,Weston Super Mare,Avon,England,South West England,,1spaceprojects.com,,Head Office,,03-09-2017,8,Builders/Construction Firm,100,12000000
6318,EE,309 High St,,,LN5 7DR,Lincoln,Lincolnshire,England,East Midlands,United Kingdom,ee.co.uk,1522551240,Branch,,05-10-1989,36,,200,3000000
307,AIM Group Training Solutions,Suite 3 Widford Industrial Estate he Hamilton Centre,,Rodney Way,CM1 3BY,Chelmsford,Essex,England,East of England,,agt-solutions.co.uk,2038765961,Single Site,info@agt-solutions.co.uk,,,Training Services,50,
6941,3r W Design Ltd,,,,RM19 1PW,Purfleet,Essex,England,East of England,,3rwdesign.co.uk,2012345678,Single Site,3rwdesign@gmail.com,03-07-2014,11,Display Fixtures & Fittings,,8000000
5132,Hobbs Pharmacy,Herts And Essex Community Hospital Herts And Essex Hospital Ln,,Haymeads,CM23 5JH,Bishops Stortford,Hertfordshire,England,East of England,,,1279506661,Branch,,,,Drug Stores/Pharmacies,100,12000000
2254,J Bishop Quality Office Supplies,Unit 12-13 Webnor Industrial Estate,,Ettingshall Rd,WV2 2LD,Wolverhampton,West Midlands,England,West Midlands,,,1902405572,Single Site,,,,Office Stationery Supplies & Retail,,3000000
2248,IT4Automation,Unit 3 Eclipse Industrial Estate,,30,KT19 8JD,Epsom,Surrey,England,South East England,,it4automation.com,1372888035,Single Site,,,,Computer and Network Security,20,3000000
6316,EE,Unit 28 The Pyramid Shopping Centre,Grange Road,,CH41 2ZL,Birkenhead,Merseyside,England,North West England,,ee.co.uk,1516665980,Branch,,,,,50,3000000
590,Bells Van Breakers,Unit 4 Arkady Industrial Estate,,Briscoe Lane,M40 2XG,Manchester,Lancashire,England,North West England,,,1418465903,Single Site,,,,Car Breakers & Dismantlers,20,8000000
1223,D V McColl Ltd,Block 7 Unit 1 Etna Industrial Estate,,2 Janesmith St,ML2 7XJ,Wishaw,Lanarkshire,Scotland,Scotland,,,1698747681,Single Site,,7/16/1979,46,Builders/Construction Firm,100,3000000
4198,The Body Lab,Unit 19 The Orbit Centre,,Ashworth Rd,SN5 7YG,Swindon,Wiltshire,England,South West England,England,thebodylabwiltshire.co.uk,,Single Site,hello@thebodylabwiltshire.co.uk,05-10-2018,7,Cosmetic Surgery,20,8000000
2299,Jewellery's Treasure,Unit 7 Mulberry Court,,Langthorne Rd,E11 4HW,London,London,England,London,,sites.google.com,,Branch,,,,Costume Jewellery,100,5000000
1538,Epic Safe & Security UK Ltd,D6 Court 2000 Industrial Estate,,Bridgnorth Rd,TF7 4JB,Telford,Shropshire,England,West Midlands,,,1952684855,Single Site,,,,Safes & Vaults - Suppliers & Installers,100,3000000
4040,Suit Direct,Unit 16 Fremlin Walk Shopping Centre,,Fremlin Walk,ME14 1QP,Maidstone,Kent,England,South East England,,suitdirect.co.uk,1622690975,Branch,,,,Fashion Retail,100,
3708,Semichem,Unit 8 Springburn Shopping Centre,,230 Springburn Way,G21 1TS,Glasgow,Lanarkshire,Scotland,Scotland,,semichem.co.uk,1415589922,Branch,help@semichem.co.uk,2/23/2000,25,Drug Stores/Pharmacies,50,3000000
686,Booker Worcester,Unit 1 Knightsbridge Park,,Wainwright Rd,WR4 9FA,Worcester,Worcestershire,England,West Midlands,,booker.co.uk,1905454336,Branch,,,,Food Wholesale,200,3000000
5332,NFU Mutual Ballymoney,Unit 7 Silversprings Shopping Centre,,Market St,BT53 6RD,Ballymoney,County Antrim,Northern Ireland,Northern Ireland,,nfumutual.co.uk,2827698302,Branch,,,,,100,12000000
790,Buttress & Snatch Lingerie,Unit D Blackhorse Mews,,Blackhorse,E17 6SL,London,London,England,London,,buttressandsnatch.co.uk,2075023139,Branch,,,,"Lingerie, Hosiery Manufacturers & Wholesalers",200,3000000
7368,A&E Leisure,Unit 51-56 Cosgrove Industrial Park,Daisy Bank Lane,,CW9 6FY,Northwich,Cheshire,England,North West England,,aeleisure.co.uk,1606973005,Single Site,,10/26/2011,14,Camping Equipment & Supplies,20,
5727,Ashvin Properties Ltd,The Back Office At 87a,,North Street,ME10 2HJ,Sittingbourne,Kent,England,South East England,,ashvinproperties.co.uk,1795472600,Single Site,,3/16/2006,19,Property & Estate Management Companies,20,8000000
5552,The Fragrance Shop,Unit 28c The Mall Shopping Centre,,Crown Rd,RM17 6GE,Grays,Essex,England,East of England,,thefragranceshop.co.uk,1375275891,Branch,,9/22/2009,16,Cosmetic Products Manufacturers,20,
7543,Abbeystone Paving Ltd,103 Booth St,,,DE24 8PH,Derby,Derbyshire,England,East Midlands,England,abbeystonepavingltd.co.uk,,branch,,5/23/2018,7,Paving & Driveway Contractors,50,3000000
1326,DMC Plant Hire Ltd,Unit 11 Smallford Works,,Smallford Ln,AL4 0SA,St Albans,Hertfordshire,England,East of England,,,1727829600,Single Site,,,,Plant & Machinery Hire & Leasing,,8000000
6724,"""Spanish and Coffee""",94 West Hill,,,SW15 2YB,London,London,England,London,England,spanishandcoffee.co.uk,2078868789,,,1/26/2015,10,Educational Services,50,12000000
7225,A P Baker and Co,493a Caerphilly Road,,,CF14 4SN,Cardiff,South Glamorgan,Wales,Wales,,apbakerandco.co.uk,2920519060,Single Site,info@apbakerandco.co.uk,,,Accounting & Audit,200,
809,C&H Fire Protection Ltd,Unit 8 Ilford Trading Estate,,Paycocke Rd,SS14 3DR,Basildon,Essex,England,East of England,England,chfireltd.co.uk,1268293199,Branch,,07-02-2020,5,Fire Protection Consultants & Engineers,20,
5994,Tump Farm Cottages,Tump Farm,,Edge,GL6 6PW,Stroud,Gloucestershire,England,South West England,United Kingdom,,,Single Site,,1/22/2022,3,,50,5000000
6723,"""EmmyLou"" Wig Specialist Salon",10 Selbey Cl,,,CT6 6UN,Herne Bay,Kent,England,South East England,,emmy-lou.com,,Branch,,,,Wig Shop,20,8000000
4335,The Skills Training & Recruitment Centre Ltd,Unit 115 Higham Hill Joint Services Centre,,313 Billet Rd,E17 5PX,London,London,England,London,,,2085276222,Single Site,,,,Employment & Recruitment Agencies,50,3000000
3004,NI Leasing Ltd,Office G.21 Innovation Factory,,385 Springfield Rd,BT12 7DG,Belfast,County Antrim,Northern Ireland,Northern Ireland,Northern Ireland,nileasing.co.uk,2890993441,Single Site,info@nileasing.co.uk,3/18/2020,5,Car Dealers,20,3000000
3630,Sabian Projects (UK) Limited,Blythe Valley Business Park Central Blvd,,Blythe Valley Park,B90 8AG,Solihull,West Midlands,England,West Midlands,,,1512077778,Single Site,,,,Business Management Consultants,100,3000000
