id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,industry,company_size,annual_revenue,annual_revenue_source,annual_revenue_confidence,full_address,company_name_status,company_name_issue,industry_status,industry_issue,head_office_country_status,head_office_country_issue,company_age_status,company_age_issue,domain_status,domain_issue
2025,"Gough, Hayes and Parker","Flat 2
Anthony Lodge",,Flat 76,W8A 6EX,,Norfolk,England,,Not Specified,holland.net,3512062121.0,,sara82@henderson.com,,Unknown,Unknown Industry,Unknown,6195935.0,global_median,0.4,"Flat 2
Anthony Lodge, , Flat 76",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,INVALID,MISSING_COUNTRY,INVALID,MISSING_AGE,VALID,VALID_DOMAIN
2299,"Bradley, Hall and Slater","Studio 46V
Chapman Canyon",,,AL6 6WZ,,,England,,Not Specified,murphy.com,Not Provided,,kfreeman@pearson.org,,43.0,Manufacturing,Unknown,5717596.689005024,median_imputed,0.5,"Studio 46V
Chapman Canyon",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2277,Miller LLC,1 Taylor Villages,,Flat 21I,,,North Lanarkshire,England,London,Not Specified,rose-white.info,3020316469.0,Branch,Not Provided,2012-09-01,18.0,Manufacturing,50.0,6509783.479511299,model_imputed,0.6,"1 Taylor Villages, , Flat 21I",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2850,Stanley Inc,"Studio 7
Hughes Road",,Studio 47A,,Hughport,Fermanagh,England,North West England,England,smith-mason.com,Not Provided,Head Office,jamie08@hussain.biz,2001-10-31,27.0,Construction,50.0,5674715.233505092,model_imputed,0.6,"Studio 7
Hughes Road, , Studio 47A",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2601,"Hill, Ali and Marsh","Studio 9
Martin Landing",,Studio 0,,West Christine,Wiltshire,England,North West England,England,burns-mitchell.com,7269508146.0,Head Office,swiftmarian@marshall.co.uk,1988-03-30,48.0,Unknown Industry,20.0,3900342.0,original,1.0,"Studio 9
Martin Landing, , Studio 0",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2439,"Ellis, Whitehead and Wood",90 Amber Ridge,,,,Leeburgh,Wiltshire,,West Midlands,Not Specified,Unknown Domain,2480983754.0,Head Office,grahambaker@fraser.com,1989-03-15,11.0,Retail,100.0,7341430.0,original,1.0,90 Amber Ridge,VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2837,Bryant Ltd,"Studio 0
Jordan Stravenue",,Flat 52,,New Stephanie,,England,,England,knowles-carr.net,4803349369.0,Branch,ffrancis@hamilton-edwards.co.uk,,18.0,Education,200.0,10518872.0,original,1.0,"Studio 0
Jordan Stravenue, , Flat 52",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2570,Thornton-Shah,2 Ellis Lodge,,Flat 00,M6W 6YH,Port Chloe,Inverclyde,England,London,England,anderson.com,2930560670.0,,douglashewitt@wood.net,1993-08-09,18.0,Retail,20.0,5897535.909001769,model_imputed,0.6,"2 Ellis Lodge, , Flat 00",INVALID,POSSIBLE_PERSON_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2879,Fowler PLC,1 Frank Rapid,,Studio 0,G6U 6HH,Lake Jayneberg,,England,West Midlands,Not Specified,thorpe.com,5508222046.0,,xatkinson@palmer.org,1983-11-02,5.0,Hospitality,100.0,7021142.0,original,1.0,"1 Frank Rapid, , Studio 0",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2261,Carter-Bradshaw,"Studio 22I
Howe Tunnel",,,,Rileyport,West Lothian,,,England,murphy.biz,2897000589.0,Head Office,ahussain@harrison.org,2013-05-01,10.0,Unknown Industry,50.0,8470322.0,original,1.0,"Studio 22I
Howe Tunnel",INVALID,POSSIBLE_PERSON_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2578,Davies Inc,"Studio 0
Jasmine Manors",,,,West Leslie,Gloucestershire,England,West Midlands,England,wilkinson-morgan.org,3636073411.0,Branch,alice77@oliver.com,1978-11-19,19.0,Marketing,Unknown,5484383.078470862,median_imputed,0.5,"Studio 0
Jasmine Manors",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2023,"Hall, Thomas and Blackburn",4 Craig Ports,,Flat 90,B2U 6XR,,,England,South East England,England,Unknown Domain,Not Provided,Branch,pgardiner@nicholson.net,,32.0,Unknown Industry,50.0,5081983.0,original,1.0,"4 Craig Ports, , Flat 90",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2030,"Bell, Macdonald and Burke","Studio 78L
Stephenson Plains",,,W5 3AP,New Ritatown,,,,England,Unknown Domain,5112192524.0,Single Site,Not Provided,,Unknown,Health Care,200.0,5089126.0,original,1.0,"Studio 78L
Stephenson Plains",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,INVALID,MISSING_AGE,INVALID,MISSING_DOMAIN
2617,"Goodwin, Patel and Morton","Flat 81
Williams Bridge",,Flat 98O,G2 5PN,Bernardville,Derbyshire,,Yorkshire And The Humber,England,Unknown Domain,4979461297.0,Branch,Not Provided,,16.0,Unknown Industry,20.0,7760955.0,original,1.0,"Flat 81
Williams Bridge, , Flat 98O",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,INVALID,MISSING_DOMAIN
2010,"Brennan, Butler and Ellis","Flat 8
Clare Union",,Flat 42,,East Grahamtown,Gloucestershire,,South East England,England,khan.com,Not Provided,Head Office,alice93@nelson.com,,1.0,Unknown Industry,20.0,5717596.689005024,median_imputed,0.5,"Flat 8
Clare Union, , Flat 42",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2221,Warren-Clark,7 Watson Mission,,Studio 6,SS9 5WN,Masonfurt,Inverclyde,England,Yorkshire And The Humber,England,williams.info,Not Provided,Head Office,qharris@kelly-rose.org,,Unknown,Unknown Industry,Unknown,8705487.0,original,1.0,"7 Watson Mission, , Studio 6",INVALID,POSSIBLE_PERSON_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,INVALID,MISSING_AGE,VALID,VALID_DOMAIN
2820,Rees PLC,7 Howard Trail,,,E8 5WX,,,England,,England,spencer-brown.com,3007751378.0,,amelia56@lewis.biz,,1.0,Health Care,Unknown,1951354.0,original,1.0,7 Howard Trail,VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2296,"Burton, Townsend and Smith","Studio 81
Sara Walks",,,,,,England,,England,webb-winter.com,1463802369.0,Branch,natalie59@jackson.biz,2016-06-21,30.0,Health Care,50.0,4012820.0,original,1.0,"Studio 81
Sara Walks",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2054,North-Burrows,"Flat 89V
Edwards Stream",,Studio 36,SG1V 8UR,West Sian,,,,Not Specified,barnes-potter.biz,8502928158.0,,patrick57@parry.net,,33.0,Unknown Industry,20.0,5035998.0,original,1.0,"Flat 89V
Edwards Stream, , Studio 36",INVALID,POSSIBLE_PERSON_NAME,INVALID,MISSING_INDUSTRY,INVALID,MISSING_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2542,James LLC,59 Gregory Green,,Flat 9,NN1R 1BR,Stevenfurt,,England,London,England,thomas.net,2965056284.0,Head Office,shaun25@bennett.biz,2024-05-02,35.0,Unknown Industry,Unknown,10887153.0,original,1.0,"59 Gregory Green, , Flat 9",VALID,VALID_COMPANY_NAME,INVALID,MISSING_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
2209,Smith PLC,"Flat 08
Holmes Land",,Flat 89,G4A 8EZ,,North Yorkshire,England,Yorkshire And The Humber,England,marshall.org,5687688751.0,Branch,Not Provided,,44.0,Marketing,100.0,4018500.0,original,1.0,"Flat 08
Holmes Land, , Flat 89",VALID,VALID_COMPANY_NAME,VALID,VALID_INDUSTRY,VALID,VALID_COUNTRY,VALID,VALID_AGE,VALID,VALID_DOMAIN
