id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,industry,company_size,annual_revenue,annual_revenue_source,annual_revenue_confidence,company_name_is_valid,company_name_issue,company_email_is_valid,company_email_issue,phone_digits,phone_is_valid,phone_issue,industry_is_valid,industry_issue,country_is_valid,country_issue,is_duplicate
812,Caddy Liners Direct,Unit 5b 5A Eden Business Centre,,S Stour Ave,TN23 7RS,Ashford,Kent,England,South East England,,caddylinersdirect.co.uk,1233220270.0,Single Site,,,,comfortable Packaging,100.0,7758134.889514141,model_imputed,0.6,True,,,Missing,1233220270,True,,True,,True,,False
538,Barcellos Holdings Limited,Unit D Main Entrance Business Centre,,111 Ross Walk,LE4 5HH,Leicester,Leicestershire,England,East Midlands,,barcellos.co.uk,1162682488.0,Branch,,8/14/2001,24.0,IT,Unknown,12000000.0,median_imputed,0.5,True,,,Missing,1162682488,True,,False,Invalid industry,True,,False
1954,H E Mcmullan & Co Ltd,Unit 9 Tamar Commercial Centre,,Chater St,BT4 1BL,Belfast,County Antrim,Northern Ireland,Northern Ireland,Northern Ireland,hemcmullan.co.uk,2890448392.0,Single Site,,9/21/2006,19.0,Import& Export,20.0,8000000.0,median_imputed,0.5,True,,,Missing,2890448392,True,,True,,True,,False
1163,Creams Cafe Eastleigh,Unit L11 The Swan Centre Shopping Centre,,Wells Pl,SO50 5SF,Eastleigh,Hampshire,England,South East England,,creamscafe.com,2381783070.0,Branch,,,,Restaurant,Unknown,3000000.0,median_imputed,0.5,True,,,Missing,2381783070,True,,True,,True,,False
289,Advantage Healthcare,7th Floor Grosvenor House,,125 High St,CR0 9XP,Croydon,Surrey,England,South East England,,advantagehealthcare.com,2082561990.0,Branch,,10/21/2004,21.0,Home Health Care Services,Unknown,8000000.0,median_imputed,0.5,True,,,Missing,2082561990,True,,True,,True,,False
954,Chris Loder Welding Supplies,Unit 14 Peartree Business Centre,,Peartree,CO3 0JN,Colchester,Essex,England,East of England,,Unknown Domain,1206548424.0,Single Site,,,,Welding Machine Sales And Service,200.0,4418203.602538501,model_imputed,0.6,True,,,Missing,1206548424,True,,True,,True,,False
358,Alpa Autos,Unit 9 Oak And Ash Business Park,,Ash St,LE5 0DA,Leicester,Leicestershire,England,East Midlands,,Unknown Domain,Not Provided,Single Site,,,,Garage Mechanics/ Vehicle Repairs& Services,20.0,6344277.494782375,model_imputed,0.6,True,,,Missing,,,Missing,True,,True,,False
6875,288 Group,"1,aston Way",,,BH12 4FE,Poole,Dorset,England,South West England,United Kingdom,288group.com,3330032777.0,single site,,10/19/2015,10.0,B2 B,50.0,8000000.0,median_imputed,0.5,True,,,Missing,3330032777,True,,True,,True,,False
5923,Polygon,Unit 10,,Bradley Stoke,BS32 4EU,Bristol,Avon,England,South West England,United Kingdom,polygongroup.com,Not Provided,Branch,,10/28/2022,3.0,Fire& Water Damage Restoration Services,Unknown,12000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
2091,Home Instead St Albans,Unit 3 St Albans Enterprise Centre,,Long Spring,AL3 6EN,St Albans,Hertfordshire,England,East of England,,homeinstead.co.uk,1727895941.0,Branch,,,,Home Health Care Services,20.0,3000000.0,median_imputed,0.5,True,,,Missing,1727895941,True,,True,,True,,False
5855,Ibj Global Ventures Ltd,Unit 106,,Ardwick,M12 4AH,Manchester,Lancashire,England,North West England,,Unknown Domain,1612735747.0,Single Site,,10/24/2024,1.0,IT,100.0,12000000.0,median_imputed,0.5,True,,,Missing,1612735747,True,,False,Invalid industry,True,,False
6026,Rowse Honey,Mor Avenue,,Moreton Avenue,OX10 9DE,Wallingford,Oxfordshire,England,South East England,,rowsehoney.co.uk,1491454100.0,Branch,,,,Agriculture Products,Unknown,12000000.0,median_imputed,0.5,True,,,Missing,1491454100,True,,True,,True,,False
6457,Ee,23 Market Square,,,BD18 3QJ,Shipley,West Yorkshire,England,Yorkshire And The Humber,United Kingdom,Unknown Domain,1274589355.0,Branch,,05-10-1989,36.0,Telecommunication Services,20.0,3000000.0,median_imputed,0.5,False,Too short,,Missing,1274589355,True,,True,,True,,False
2492,Layden Solutions Ltd,Unit 3 Holroyd Business Park,,Carrbottom Rd,BD5 9BP,Bradford,West Yorkshire,England,Yorkshire And The Humber,,Unknown Domain,1274921310.0,Single Site,,11-02-2017,8.0,Windows- Wood,100.0,5000000.0,median_imputed,0.5,True,,,Missing,1274921310,True,,True,,True,,False
645,Black Saucers,Unit 6 And 7 Powerhub Business Centre,,St Peter's St,ME16 0ST,Maidstone,Kent,England,South East England,United Kingdom,blacksaucers.com,1622910120.0,Single Site,,8/20/2021,4.0,Events Management,100.0,12000000.0,median_imputed,0.5,True,,,Missing,1622910120,True,,True,,True,,False
5292,Nando'S Basingstoke - St Michael'S,Unit 8 St Michael's Retail Park,,The Harrow Way,RG22 4AN,Basingstoke,Hampshire,England,South East England,,Unknown Domain,1256364492.0,Single Site,,,,Restaurant,200.0,8000000.0,median_imputed,0.5,True,,,Missing,1256364492,True,,True,,True,,False
7641,Abrahams & Carlisle Ltd,Abrahams House,Newman St,,BD4 9NT,Bradford,West Yorkshire,England,Yorkshire And The Humber,England,abrahams-and-carlisle.com,1274651555.0,,,12-01-1977,48.0,Shopfitters,Unknown,8000000.0,median_imputed,0.5,True,,,Missing,1274651555,True,,True,,True,,False
7705,Ac1 Construction Ltd,Health Aid House,Marlborough Hill,,HA1 1UD,Harrow,Middlesex,England,London,,ac1construction.co.uk,Not Provided,Single Site,,12-01-2010,15.0,Builders/ Construction Firm,100.0,12000000.310911927,model_imputed,0.6,True,,,Missing,,,Missing,True,,True,,False
1874,Goldcrest,Unit 4 Trafalgar Business Park,,Broughton Ln,M8 9TZ,Manchester,Lancashire,England,North West England,,Unknown Domain,1618394791.0,Branch,,01-07-2016,9.0,Unknown Industry,20.0,6102412.147682283,median_imputed,0.5,True,,,Missing,1618394791,True,,True,,True,,False
5829,Global Encountours Limited,31 Northolt,,Poppy Close,UB5 5TP,Northolt,Middlesex,England,London,England,Unknown Domain,Not Provided,Single Site,,6/13/2019,6.0,Tour Operators,20.0,3000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
5377,Pizza Hut Restaurants Banbury Cross Retail Park,Unit 15 Lockheed Close,,Banbury Cross Retail Park,OX16 1LX,Banbury,Oxfordshire,England,South East England,,Unknown Domain,1295277422.0,Single Site,,,,Pizza Restaurants,Unknown,5000000.0,median_imputed,0.5,True,,,Missing,1295277422,True,,True,,True,,False
3978,Stay Central,Student Central University of London Housing Services,,2 Malet St,WC1E 7HY,London,London,England,London,,staycentral.london.ac.uk,2078636071.0,Single Site,,,,Bed& Breakfast,100.0,7758134.889514141,model_imputed,0.6,True,,,Missing,2078636071,True,,True,,True,,False
7439,A1 Repair,Unit 7,Tilling Way,East Lane,HA9 7NQ,Wembley,Middlesex,England,London,,a1repairltd.co.uk,2089043220.0,single site,a1repairltd@yahoo.com,11/27/2018,7.0,Garage Mechanics/ Vehicle Repairs& Services,50.0,8000000.0,median_imputed,0.5,True,,True,,2089043220,True,,True,,True,,False
2354,Just 4 Nails,Drakes Courtyard 285 Drakes Courtyard,,Kilburn High Rd,NW6 7JR,London,London,England,London,,Unknown Domain,2031529121.0,Single Site,,,,Personal Care Product Manufacturing,100.0,3000000.0,median_imputed,0.5,True,,,Missing,2031529121,True,,True,,True,,False
3043,Northern Autobodies Paint & Car Body Repairs,Unit 20 Green Lane Workshops,,N Seaton Rd,NE63 0EF,Ashington,Northumberland,England,North East England,,Unknown Domain,Not Provided,Single Site,,,,Car Body Repairs,20.0,6102412.147682283,model_imputed,0.6,True,,,Missing,,,Missing,True,,True,,False
6784,1874Cc Limited,,,,WA4 3DS,Warrington,Cheshire,England,North West England,England,1874cc.uk,Not Provided,Single Site,contact@1874cc.co.uk,1/31/2024,1.0,Unknown Industry,Unknown,3000000.0,median_imputed,0.5,True,,True,,,,Missing,True,,True,,False
2075,Holland & Barrett - North Shields,Unit 17 1 The Beacon Shopping Centre,,Bedford St,NE29 6RX,North Shields,Tyne And Wear,England,North East England,,hollandandbarrett.com,3300582640.0,Branch,,10/26/1992,33.0,Health Foods& Products,Unknown,5000000.0,median_imputed,0.5,True,,,Missing,3300582640,True,,True,,True,,False
7293,A. Frizell Limited,,,,CA6 5TS,Carlisle,Cumbria,England,North West England,,afrizell.co.uk,Not Provided,Single Site,,3/17/2003,22.0,Agricultural Services,20.0,6102412.147682283,model_imputed,0.6,True,,,Missing,,,Missing,True,,True,,False
3723,Shaadimubarak Wedding Services,Unit 15 Adrienne Business Centre,,Adrienne Ave,UB1 2FJ,Southall,Middlesex,England,London,England,Unknown Domain,Not Provided,Single Site,,9/23/2021,4.0,Wedding Supplies& Services,20.0,12000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
2239,Iq Field Marketing Ltd,Unit 4 Riverside Business Centre,,Walnut Tree Close,GU1 4UG,Guildford,Surrey,England,South East England,,Unknown Domain,1483504900.0,Single Site,,,,Marketing& Advertising,20.0,5000000.0,median_imputed,0.5,True,,,Missing,1483504900,True,,True,,True,,False
7237,A Quiet Place,Nugent Care Central Office,99 Edge Lane,,L7 2PE,Liverpool,Merseyside,England,North West England,England,aquietplace.co.uk,Not Provided,Head office,penny@aquietplace.co.uk,9/15/2005,20.0,Alternative Medicine Massages,100.0,12000000.0,median_imputed,0.5,True,,True,,,,Missing,True,,True,,False
2601,Loudhouse,Lower ground floor Prospero House,,241 Borough High St,SE1 1GA,London,London,England,London,,loudhouse.io,Not Provided,Branch,,7/14/2017,8.0,Digital Marketing,50.0,8000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
815,Cakes & Bakes Edmonton,Unit 4 The Concourse,,edmonton green shopping centre,N9 0TY,London,London,England,London,,cakesandbakes.co.uk,Not Provided,Branch,,4/14/2022,3.0,Baked Goods Manufacturing,50.0,12000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
5553,The Fragrance Shop,Unit 5 Cornmarket Marketgate Shopping Centre,,9 Market St,LA1 1AL,Lancaster,Lancashire,England,North West England,,thefragranceshop.co.uk,1524884787.0,Branch,,9/22/2009,16.0,Cosmetic Products Manufacturers,50.0,12000000.0,median_imputed,0.5,True,,,Missing,1524884787,True,,True,,True,,False
904,Central Computer Support Systems Ltd,Unit 6 Washington Industrial Centre,,Halesowen Rd,DY2 9RE,Dudley,West Midlands,England,West Midlands,,Unknown Domain,1384468687.0,Single Site,,,,IT Consultancy Services,100.0,3000000.0,median_imputed,0.5,True,,,Missing,1384468687,True,,True,,True,,False
1637,Familycares,Unit C 43-49 Fowler Road,,Hainault Business Park,IG6 3UT,Ilford,Essex,England,East of England,,Unknown Domain,2079980480.0,Single Site,,,,"Electrical Goods Sales, Manufacturers& Wholesalers",50.0,3000000.0,median_imputed,0.5,True,,,Missing,2079980480,True,,True,,True,,False
2200,Infacol,Teva UK Ridings Point,,Whistler,WF10 5HX,Castleford,West Yorkshire,England,Yorkshire And The Humber,,infacol.co.uk,Not Provided,Single Site,,,,Alternative Medicine Massages,50.0,12000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
5844,Hairology Hairloss Clinic,542a,,Chorley Old Road,BL1 6AB,Bolton,Lancashire,England,North West England,,Unknown Domain,Not Provided,Single Site,,3/24/2017,8.0,Wellness Center,Unknown,5000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
6637,Ee,44 The Mercat Centre,,,KY1 1NU,Kirkcaldy,Fife,Scotland,Scotland,,shop.ee.co.uk,8450971151.0,Branch,,,,Mobile Phones,Unknown,8000000.0,median_imputed,0.5,False,Too short,,Missing,8450971151,True,,True,,True,,False
2402,Kendal Mot And Service Centre,Unit 10 Dockray Hall Industrial Estate,,Dockray Hall Rd,LA9 4RU,Kendal,Cumbria,England,North West England,,Unknown Domain,1539738341.0,Single Site,,,,MOT Testing centers/ Garages,50.0,12000000.0,median_imputed,0.5,True,,,Missing,1539738341,True,,True,,True,,False
4787,X-Ray Touring,Unit A5 tileyard studios,,105 Blundell St,N7 9BN,London,London,England,London,,xraytouring.com,2077493500.0,Head Office,info@xraytouring.com,,,Concert organizers,Unknown,12000000.0,median_imputed,0.5,True,,True,,2077493500,True,,True,,True,,False
3076,Nwf Fuels Mansfield,NWF Fuels Ltd Nunn Brook Rd,,Huthwaite,NG17 2HU,Sutton In Ashfield,Nottinghamshire,England,East Midlands,,nwffuels.co.uk,1159619414.0,Branch,,,,Fuel Dealers,200.0,3000000.0,median_imputed,0.5,True,,,Missing,1159619414,True,,True,,True,,False
7167,A G Price Florist,"217-219,well Street",Hackney,,E9 6QU,London,London,England,London,,agpriceflowers.co.uk,2089864946.0,Branch,agpriceflorist@aol.com,,,Florists,200.0,4418203.602538501,model_imputed,0.6,True,,True,,2089864946,True,,True,,True,,False
5278,Menkind,Unit SU48 West Quay Shopping Centre,,Portland Terrace,SO15 1QD,Southampton,Hampshire,England,South East England,,menkind.co.uk,2380231862.0,Branch,enquiries@menkind.co.uk,,,Gift& Specialty Shops,Unknown,12000000.0,median_imputed,0.5,True,,True,,2380231862,True,,True,,True,,False
6470,Ee,Unit 146 Level 1 Mall,South,Derbion Shopping Center,DE1 2PQ,Derby,Derbyshire,England,East Midlands,United Kingdom,ee.co.uk,1332374650.0,Branch,,05-10-1989,36.0,Unknown Industry,20.0,6102412.147682283,median_imputed,0.5,False,Too short,,Missing,1332374650,True,,True,,True,,False
1800,G&R Auto Repairs Ltd,Unit 14 Barking Industrial Park,,Alfreds Way,IG11 0TJ,Barking,Essex,England,East of England,England,grautorepairs2020.wixsite.com,2074760890.0,Single Site,,11/28/2019,6.0,Garage Mechanics/ Vehicle Repairs& Services,Unknown,8000000.0,median_imputed,0.5,True,,,Missing,2074760890,True,,True,,True,,False
1930,Gsf Car Parts (Doncaster),Unit 12 Wheatley Hall Trade Park,,Wheatley Hall Rd,DN2 4NH,Doncaster,South Yorkshire,England,Yorkshire And The Humber,,Unknown Domain,1302762762.0,Single Site,,,,Auto Parts& Supplies,50.0,8000000.0,median_imputed,0.5,True,,,Missing,1302762762,True,,True,,True,,False
5663,Wickes Haverfordwest,Unit B Springfield Retail Park,,Fishguard Rd,SA61 2AT,Haverfordwest,Dyfed,Wales,Wales,United Kingdom,wickes.co.uk,1437823300.0,Branch,,8/13/1984,41.0,Home Improvement& Hardware Retail,Unknown,5000000.0,median_imputed,0.5,True,,,Missing,1437823300,True,,True,,True,,False
1545,Eros Song,Block D 18 Riverstone Heights,,Reed Venue,E3 3ZE,London,London,England,London,,erossong.com,Not Provided,Single Site,,12/24/2022,2.0,Sex Shops/ Adult Entertainment Stores,100.0,3000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
5110,Greggs,U21 Springburn Shopping Centre,,Springburn Way,G21 1TS,Glasgow,Lanarkshire,Scotland,Scotland,United Kingdom,greggs.co.uk,1417267391.0,Branch,enquiries@greggs.co.uk,12/29/1951,73.0,Restaurants& Take Away Menus,50.0,12000000.0,median_imputed,0.5,True,,True,,1417267391,True,,True,,True,,False
429,Arnolds Produce,Hillcrest Barningham Rd,,Stanton,IP31 2DU,Bury St Edmunds,Suffolk,England,East of England,,arnoldsproduce.co.uk,1359251999.0,Single Site,info@arnoldsproduce.co.uk,,,Wholesale Fruit& Vegetables,50.0,3000000.0,median_imputed,0.5,True,,True,,1359251999,True,,True,,True,,False
3600,Ruach Karate Kings Heath,Cocks Moors Woods Leisure Centre,,Rd,B14 6ER,Birmingham,West Midlands,England,West Midlands,,ruachkarate.co.uk,1218090601.0,Single Site,,,,Martial Arts Instruction,Unknown,6102412.147682283,global_median,0.4,True,,,Missing,1218090601,True,,True,,True,,False
7251,A S Networking Ltd,"29,park Grove",Westbury-on-trym,,BS9 4LF,Bristol,Avon,England,South West England,,asnetworking.co.uk,Not Provided,Single Site,,3/27/2015,10.0,Computer Networking& Cabling,50.0,3000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
5655,What2Buy4Kids,Unit 1B Bank Quay Trading Estate,,Slutchers Ln,WA1 1PJ,Warrington,Cheshire,England,North West England,,Unknown Domain,1925234155.0,Single Site,,,,Toy Shops,100.0,3000000.0,median_imputed,0.5,True,,,Missing,1925234155,True,,True,,True,,False
2651,M.Mills Building Contractors Ltd,Bizspace Atlantic Business Centre,,Atlantic St,WA14 5NQ,Altrincham,Cheshire,England,North West England,United Kingdom,builderincheshire.com,1625460253.0,Single Site,info@builderincheshire.com,05-04-2001,24.0,Home/ House Builders,20.0,3000000.0,median_imputed,0.5,True,,True,,1625460253,True,,True,,True,,False
5749,Bristol City Supporters Club & Trust,Ashton Gate Stadium,,Ashton Road,BS3 2EJ,Bristol,Avon,England,South West England,United Kingdom,bristolcitysupporters.org,1173706146.0,Branch,info@bristolcitysupporters.org,01-01-1900,125.0,Fan Clubs,Unknown,12000000.0,median_imputed,0.5,True,,True,,1173706146,True,,True,,True,,False
4481,Trident Gym Weston-Super-Mare,Unit A Winterstoke Trading Estate,,Phillips Rd,BS23 3YR,Weston Super Mare,Avon,England,South West England,,tridentgym.uk,1934910677.0,Branch,,,,"Health Clubs, Gymnasiums& Beauty centers",20.0,5000000.0,median_imputed,0.5,True,,,Missing,1934910677,True,,True,,True,,False
1569,Eurocell Hastings,Unit A1 Castleham Industrial Estate,,Maunsell Rd,TN38 9NN,St Leonards On Sea,East Sussex,England,South East England,,Unknown Domain,3332341197.0,Single Site,,,,Builders Merchants,200.0,4418203.602538501,model_imputed,0.6,True,,,Missing,3332341197,True,,True,,True,,False
6742,1 Space Projects Ltd,"42,maltlands",,,BS22 8NZ,Weston Super Mare,Avon,England,South West England,,1spaceprojects.com,Not Provided,Head Office,,03-09-2017,8.0,Builders/ Construction Firm,100.0,12000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
6318,Ee,309 High St,,,LN5 7DR,Lincoln,Lincolnshire,England,East Midlands,United Kingdom,ee.co.uk,1522551240.0,Branch,,05-10-1989,36.0,Unknown Industry,200.0,3000000.0,median_imputed,0.5,False,Too short,,Missing,1522551240,True,,True,,True,,False
307,Aim Group Training Solutions,Suite 3 Widford Industrial Estate he Hamilton Centre,,Rodney Way,CM1 3BY,Chelmsford,Essex,England,East of England,,agt-solutions.co.uk,2038765961.0,Single Site,info@agt-solutions.co.uk,,,Training Services,50.0,7758133.791127254,model_imputed,0.6,True,,True,,2038765961,True,,True,,True,,False
6941,3R W Design Ltd,,,,RM19 1PW,Purfleet,Essex,England,East of England,,3rwdesign.co.uk,2012345678.0,Single Site,3rwdesign@gmail.com,03-07-2014,11.0,Display Fixtures& Fittings,Unknown,8000000.0,median_imputed,0.5,True,,True,,2012345678,True,,True,,True,,False
5132,Hobbs Pharmacy,Herts And Essex Community Hospital Herts And Essex Hospital Ln,,Haymeads,CM23 5JH,Bishops Stortford,Hertfordshire,England,East of England,,Unknown Domain,1279506661.0,Branch,,,,Drug Stores/ Pharmacies,100.0,12000000.0,median_imputed,0.5,True,,,Missing,1279506661,True,,True,,True,,False
2254,J Bishop Quality Office Supplies,Unit 12-13 Webnor Industrial Estate,,Ettingshall Rd,WV2 2LD,Wolverhampton,West Midlands,England,West Midlands,,Unknown Domain,1902405572.0,Single Site,,,,Office Stationery Supplies& Retail,Unknown,3000000.0,median_imputed,0.5,True,,,Missing,1902405572,True,,True,,True,,False
2248,It4Automation,Unit 3 Eclipse Industrial Estate,,30,KT19 8JD,Epsom,Surrey,England,South East England,,it4automation.com,1372888035.0,Single Site,,,,Computer and Network Security,20.0,3000000.0,median_imputed,0.5,True,,,Missing,1372888035,True,,True,,True,,False
6316,Ee,Unit 28 The Pyramid Shopping Centre,Grange Road,,CH41 2ZL,Birkenhead,Merseyside,England,North West England,,ee.co.uk,1516665980.0,Branch,,,,Unknown Industry,50.0,3000000.0,median_imputed,0.5,False,Too short,,Missing,1516665980,True,,True,,True,,False
590,Bells Van Breakers,Unit 4 Arkady Industrial Estate,,Briscoe Lane,M40 2XG,Manchester,Lancashire,England,North West England,,Unknown Domain,1418465903.0,Single Site,,,,Car Breakers& dismantles,20.0,8000000.0,median_imputed,0.5,True,,,Missing,1418465903,True,,True,,True,,False
1223,D V Mccoll Ltd,Block 7 Unit 1 Etna Industrial Estate,,2 Janesmith St,ML2 7XJ,Wishaw,Lanarkshire,Scotland,Scotland,,Unknown Domain,1698747681.0,Single Site,,7/16/1979,46.0,Builders/ Construction Firm,100.0,3000000.0,median_imputed,0.5,True,,,Missing,1698747681,True,,True,,True,,False
4198,The Body Lab,Unit 19 The Orbit Centre,,Ashworth Rd,SN5 7YG,Swindon,Wiltshire,England,South West England,England,thebodylabwiltshire.co.uk,Not Provided,Single Site,hello@thebodylabwiltshire.co.uk,05-10-2018,7.0,Cosmetic Surgery,20.0,8000000.0,median_imputed,0.5,True,,True,,,,Missing,True,,True,,False
2299,Jewellery'S Treasure,Unit 7 Mulberry Court,,Langthorne Rd,E11 4HW,London,London,England,London,,sites.google.com,Not Provided,Branch,,,,Costume jeweller,100.0,5000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
1538,Epic Safe & Security Uk Ltd,D6 Court 2000 Industrial Estate,,Bridgnorth Rd,TF7 4JB,Telford,Shropshire,England,West Midlands,,Unknown Domain,1952684855.0,Single Site,,,,Safes& Vaults- Suppliers& Installers,100.0,3000000.0,median_imputed,0.5,True,,,Missing,1952684855,True,,True,,True,,False
4040,Suit Direct,Unit 16 Fremlin Walk Shopping Centre,,Fremlin Walk,ME14 1QP,Maidstone,Kent,England,South East England,,suitdirect.co.uk,1622690975.0,Branch,,,,Fashion Retail,100.0,7758134.889514141,model_imputed,0.6,True,,,Missing,1622690975,True,,True,,True,,False
3708,Semichem,Unit 8 Springburn Shopping Centre,,230 Springburn Way,G21 1TS,Glasgow,Lanarkshire,Scotland,Scotland,,semichem.co.uk,1415589922.0,Branch,help@semichem.co.uk,2/23/2000,25.0,Drug Stores/ Pharmacies,50.0,3000000.0,median_imputed,0.5,True,,True,,1415589922,True,,True,,True,,False
686,Booker Worcester,Unit 1 Knightsbridge Park,,Wainwright Rd,WR4 9FA,Worcester,Worcestershire,England,West Midlands,,booker.co.uk,1905454336.0,Branch,,,,Food Wholesale,200.0,3000000.0,median_imputed,0.5,True,,,Missing,1905454336,True,,True,,True,,False
5332,Nfu Mutual Ballymoney,Unit 7 Silversprings Shopping Centre,,Market St,BT53 6RD,Ballymoney,County Antrim,Northern Ireland,Northern Ireland,,nfumutual.co.uk,2827698302.0,Branch,,,,Unknown Industry,100.0,12000000.0,median_imputed,0.5,True,,,Missing,2827698302,True,,True,,True,,False
790,Buttress & Snatch Lingerie,Unit D Blackhorse Mews,,Blackhorse,E17 6SL,London,London,England,London,,buttressandsnatch.co.uk,2075023139.0,Branch,,,,"Lingerie, Hosiery Manufacturers& Wholesalers",200.0,3000000.0,median_imputed,0.5,True,,,Missing,2075023139,True,,True,,True,,False
7368,A&E Leisure,Unit 51-56 Cosgrove Industrial Park,Daisy Bank Lane,,CW9 6FY,Northwich,Cheshire,England,North West England,,aeleisure.co.uk,1606973005.0,Single Site,,10/26/2011,14.0,Camping Equipment& Supplies,20.0,6102412.147682283,model_imputed,0.6,True,,,Missing,1606973005,True,,True,,True,,False
5727,Ashvin Properties Ltd,The Back Office At 87a,,North Street,ME10 2HJ,Sittingbourne,Kent,England,South East England,,ashvinproperties.co.uk,1795472600.0,Single Site,,3/16/2006,19.0,Property& Estate Management Companies,20.0,8000000.0,median_imputed,0.5,True,,,Missing,1795472600,True,,True,,True,,False
5552,The Fragrance Shop,Unit 28c The Mall Shopping Centre,,Crown Rd,RM17 6GE,Grays,Essex,England,East of England,,thefragranceshop.co.uk,1375275891.0,Branch,,9/22/2009,16.0,Cosmetic Products Manufacturers,20.0,10344277.494781643,model_imputed,0.6,True,,,Missing,1375275891,True,,True,,True,,False
7543,Abbeystone Paving Ltd,103 Booth St,,,DE24 8PH,Derby,Derbyshire,England,East Midlands,England,abbeystonepavingltd.co.uk,Not Provided,branch,,5/23/2018,7.0,Paving& Driveway Contractors,50.0,3000000.0,median_imputed,0.5,True,,,Missing,,,Missing,True,,True,,False
