id,company_name,address_1,address_2,address_3,post_code,post_town,county,country,region,head_office_country,domain,phone,location_type,company_email,founded_date,company_age,industry,company_size,annual_revenue,annual_revenue_source,annual_revenue_confidence,full_address,company_name_is_valid,company_name_issue,company_email_is_valid,company_email_issue,phone_digits,phone_is_valid,phone_issue,industry_is_valid,industry_issue,country_is_valid,country_issue,founded_date_is_valid,founded_date_issue,company_age_is_valid,company_age_issue,is_duplicate
6875,288 Group,"1,Aston Way",,,BH12 4FE,Poole,Dorset,England,South West England,United Kingdom,288group.com,3330032777.0,Single Site,Not Provided,2015-10-19,10.0,B2 B,50.0,8000000.0,original,1.0,"1,Aston Way",True,,False,Invalid format,3330032777,True,,True,,True,,True,,True,,False
5923,Polygon,Unit 10,,Bradley Stoke,BS32 4EU,Bristol,Avon,England,South West England,United Kingdom,polygongroup.com,Not Provided,Branch,Not Provided,2022-10-28,3.0,Fire& Water Damage Restoration Services,Unknown,12000000.0,original,1.0,"Unit 10, , Bradley Stoke",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
2091,Home Instead St Albans,Unit 3 Street Albans Enterprise Centre,,Long Spring,AL3 6EN,St Albans,Hertfordshire,England,East of England,Not Specified,homeinstead.co.uk,1727895941.0,Branch,Not Provided,Not Provided,Not Provided,Home Health Care Services,20.0,3000000.0,original,1.0,"Unit 3 Street Albans Enterprise Centre, , Long Spring",True,,False,Invalid format,1727895941,True,,True,,True,,False,Invalid founded date,False,,False
5855,Ibj Global Ventures Ltd,Unit 106,,Ardwick,M12 4AH,Manchester,Lancashire,England,North West England,Not Specified,Unknown Domain,1612735747.0,Single Site,Not Provided,2024-10-24,1.0,IT,100.0,12000000.0,original,1.0,"Unit 106, , Ardwick",True,,False,Invalid format,1612735747,True,,True,,True,,True,,True,,False
6026,Rowse Honey,Mor Avenue,,Moreton Avenue,OX10 9DE,Wallingford,Oxfordshire,England,South East England,Not Specified,rowsehoney.co.uk,1491454100.0,Branch,Not Provided,Not Provided,Not Provided,Agriculture Products,Unknown,12000000.0,original,1.0,"Mor Avenue, , Moreton Avenue",True,,False,Invalid format,1491454100,True,,True,,True,,False,Invalid founded date,False,,False
6457,Ee,23 Market Square,,,BD18 3QJ,Shipley,West Yorkshire,England,Yorkshire And The Humber,United Kingdom,Unknown Domain,1274589355.0,Branch,Not Provided,1989-10-05,36.0,Telecommunication Services,20.0,3000000.0,original,1.0,23 Market Square,False,Too short,False,Invalid format,1274589355,True,,True,,True,,True,,True,,False
2492,Layden Solutions Ltd,Unit 3 Holroyd Business Park,,Carrbottom Road,BD5 9BP,Bradford,West Yorkshire,England,Yorkshire And The Humber,Not Specified,Unknown Domain,1274921310.0,Single Site,Not Provided,2017-02-11,8.0,Windows- Wood,100.0,5000000.0,original,1.0,"Unit 3 Holroyd Business Park, , Carrbottom Road",True,,False,Invalid format,1274921310,True,,True,,True,,True,,True,,False
645,Black Saucers,Unit 6 And 7 Powerhub Business Centre,,Street Peter'S Street,ME16 0ST,Maidstone,Kent,England,South East England,United Kingdom,blacksaucers.com,1622910120.0,Single Site,Not Provided,2021-08-20,4.0,Events Management,100.0,12000000.0,original,1.0,"Unit 6 And 7 Powerhub Business Centre, , Street Peter'S Street",True,,False,Invalid format,1622910120,True,,True,,True,,True,,True,,False
5292,Nando'S Basingstoke - St Michael'S,Unit 8 Street Michael'S Retail Park,,The Harrow Way,RG22 4AN,Basingstoke,Hampshire,England,South East England,Not Specified,Unknown Domain,1256364492.0,Single Site,Not Provided,Not Provided,Not Provided,Restaurant,200.0,8000000.0,original,1.0,"Unit 8 Street Michael'S Retail Park, , The Harrow Way",True,,False,Invalid format,1256364492,True,,True,,True,,False,Invalid founded date,False,,False
7641,Abrahams & Carlisle Ltd,Abrahams House,Newman Street,,BD4 9NT,Bradford,West Yorkshire,England,Yorkshire And The Humber,England,abrahams-and-carlisle.com,1274651555.0,Single Site,Not Provided,1977-01-12,48.0,Shopfitters,Unknown,8000000.0,original,1.0,"Abrahams House, Newman Street",True,,False,Invalid format,1274651555,True,,True,,True,,True,,True,,False
7705,Ac1 Construction Ltd,Health Aid House,Marlborough Hill,,HA1 1UD,Harrow,Middlesex,England,London,Not Specified,ac1construction.co.uk,Not Provided,Single Site,Not Provided,2010-01-12,15.0,Builders/ Construction Firm,100.0,12000000.310911927,model_imputed,0.6,"Health Aid House, Marlborough Hill",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
1874,Goldcrest,Unit 4 Trafalgar Business Park,,Broughton Lane,M8 9TZ,Manchester,Lancashire,England,North West England,Not Specified,Unknown Domain,1618394791.0,Branch,Not Provided,2016-07-01,9.0,Unknown Industry,20.0,6102412.147682283,median_imputed,0.5,"Unit 4 Trafalgar Business Park, , Broughton Lane",True,,False,Invalid format,1618394791,True,,True,,True,,True,,True,,False
5829,Global Encountours Limited,31 Northolt,,Poppy Close,UB5 5TP,Northolt,Middlesex,England,London,England,Unknown Domain,Not Provided,Single Site,Not Provided,2019-06-13,6.0,Tour Operators,20.0,3000000.0,original,1.0,"31 Northolt, , Poppy Close",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
5377,Pizza Hut Restaurants Banbury Cross Retail Park,Unit 15 Lockheed Close,,Banbury Cross Retail Park,OX16 1LX,Banbury,Oxfordshire,England,South East England,Not Specified,Unknown Domain,1295277422.0,Single Site,Not Provided,Not Provided,Not Provided,Pizza Restaurants,Unknown,5000000.0,original,1.0,"Unit 15 Lockheed Close, , Banbury Cross Retail Park",True,,False,Invalid format,1295277422,True,,True,,True,,False,Invalid founded date,False,,False
3978,Stay Central,Student Central University Of London Housing Services,,2 Malet Street,WC1E 7HY,London,London,England,London,Not Specified,staycentral.london.ac.uk,2078636071.0,Single Site,Not Provided,Not Provided,Not Provided,Bed& Breakfast,100.0,7758134.889514141,model_imputed,0.6,"Student Central University Of London Housing Services, , 2 Malet Street",True,,False,Invalid format,2078636071,True,,True,,True,,False,Invalid founded date,False,,False
7439,A1 Repair,Unit 7,Tilling Way,East Lane,HA9 7NQ,Wembley,Middlesex,England,London,Not Specified,a1repairltd.co.uk,2089043220.0,Single Site,a1repairltd@yahoo.com,2018-11-27,7.0,Garage Mechanics/ Vehicle Repairs& Services,50.0,8000000.0,original,1.0,"Unit 7, Tilling Way, East Lane",True,,True,,2089043220,True,,True,,True,,True,,True,,False
2354,Just 4 Nails,Drakes Courtyard 285 Drakes Courtyard,,Kilburn High Road,NW6 7JR,London,London,England,London,Not Specified,Unknown Domain,2031529121.0,Single Site,Not Provided,Not Provided,Not Provided,Personal Care Product Manufacturing,100.0,3000000.0,original,1.0,"Drakes Courtyard 285 Drakes Courtyard, , Kilburn High Road",True,,False,Invalid format,2031529121,True,,True,,True,,False,Invalid founded date,False,,False
3043,Northern Autobodies Paint & Car Body Repairs,Unit 20 Green Lane Workshops,,N Seaton Road,NE63 0EF,Ashington,Northumberland,England,North East England,Not Specified,Unknown Domain,Not Provided,Single Site,Not Provided,Not Provided,Not Provided,Car Body Repairs,20.0,6102412.147682283,model_imputed,0.6,"Unit 20 Green Lane Workshops, , N Seaton Road",True,,False,Invalid format,,,Missing,True,,True,,False,Invalid founded date,False,,False
6784,1874Cc Limited,,,,WA4 3DS,Warrington,Cheshire,England,North West England,England,1874cc.uk,Not Provided,Single Site,contact@1874cc.co.uk,2024-01-31,1.0,Unknown Industry,Unknown,3000000.0,original,1.0,None,True,,True,,,,Missing,True,,True,,True,,True,,False
2075,Holland & Barrett - North Shields,Unit 17 1 The Beacon Shopping Centre,,Bedford Street,NE29 6RX,North Shields,Tyne And Wear,England,North East England,Not Specified,hollandandbarrett.com,3300582640.0,Branch,Not Provided,1992-10-26,33.0,Health Foods& Products,Unknown,5000000.0,original,1.0,"Unit 17 1 The Beacon Shopping Centre, , Bedford Street",True,,False,Invalid format,3300582640,True,,True,,True,,True,,True,,False
7293,A. Frizell Limited,,,,CA6 5TS,Carlisle,Cumbria,England,North West England,Not Specified,afrizell.co.uk,Not Provided,Single Site,Not Provided,2003-03-17,22.0,Agricultural Services,20.0,6102412.147682283,model_imputed,0.6,None,True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
3723,Shaadimubarak Wedding Services,Unit 15 Adrienne Business Centre,,Adrienne Avenue,UB1 2FJ,Southall,Middlesex,England,London,England,Unknown Domain,Not Provided,Single Site,Not Provided,2021-09-23,4.0,Wedding Supplies& Services,20.0,12000000.0,original,1.0,"Unit 15 Adrienne Business Centre, , Adrienne Avenue",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
2239,Iq Field Marketing Ltd,Unit 4 Riverside Business Centre,,Walnut Tree Close,GU1 4UG,Guildford,Surrey,England,South East England,Not Specified,Unknown Domain,1483504900.0,Single Site,Not Provided,Not Provided,Not Provided,Marketing& Advertising,20.0,5000000.0,original,1.0,"Unit 4 Riverside Business Centre, , Walnut Tree Close",True,,False,Invalid format,1483504900,True,,True,,True,,False,Invalid founded date,False,,False
7237,A Quiet Place,Nugent Care Central Office,99 Edge Lane,,L7 2PE,Liverpool,Merseyside,England,North West England,England,aquietplace.co.uk,Not Provided,Head Office,penny@aquietplace.co.uk,2005-09-15,20.0,Alternative Medicine Massages,100.0,12000000.0,original,1.0,"Nugent Care Central Office, 99 Edge Lane",True,,True,,,,Missing,True,,True,,True,,True,,False
2601,Loudhouse,Lower Ground Floor Prospero House,,241 Borough High Street,SE1 1GA,London,London,England,London,Not Specified,loudhouse.io,Not Provided,Branch,Not Provided,2017-07-14,8.0,Digital Marketing,50.0,8000000.0,original,1.0,"Lower Ground Floor Prospero House, , 241 Borough High Street",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
815,Cakes & Bakes Edmonton,Unit 4 The Concourse,,Edmonton Green Shopping Centre,N9 0TY,London,London,England,London,Not Specified,cakesandbakes.co.uk,Not Provided,Branch,Not Provided,2022-04-14,3.0,Baked Goods Manufacturing,50.0,12000000.0,original,1.0,"Unit 4 The Concourse, , Edmonton Green Shopping Centre",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
5553,The Fragrance Shop,Unit 5 Cornmarket Marketgate Shopping Centre,,9 Market Street,LA1 1AL,Lancaster,Lancashire,England,North West England,Not Specified,thefragranceshop.co.uk,1524884787.0,Branch,Not Provided,2009-09-22,16.0,Cosmetic Products Manufacturers,50.0,12000000.0,original,1.0,"Unit 5 Cornmarket Marketgate Shopping Centre, , 9 Market Street",True,,False,Invalid format,1524884787,True,,True,,True,,True,,True,,False
904,Central Computer Support Systems Ltd,Unit 6 Washington Industrial Centre,,Halesowen Road,DY2 9RE,Dudley,West Midlands,England,West Midlands,Not Specified,Unknown Domain,1384468687.0,Single Site,Not Provided,Not Provided,Not Provided,IT Consultancy Services,100.0,3000000.0,original,1.0,"Unit 6 Washington Industrial Centre, , Halesowen Road",True,,False,Invalid format,1384468687,True,,True,,True,,False,Invalid founded date,False,,False
1637,Familycares,Unit C 43-49 Fowler Road,,Hainault Business Park,IG6 3UT,Ilford,Essex,England,East of England,Not Specified,Unknown Domain,2079980480.0,Single Site,Not Provided,Not Provided,Not Provided,"Electrical Goods Sales, Manufacturers& Wholesalers",50.0,3000000.0,original,1.0,"Unit C 43-49 Fowler Road, , Hainault Business Park",True,,False,Invalid format,2079980480,True,,True,,True,,False,Invalid founded date,False,,False
2200,Infacol,Teva Uk Ridings Point,,Whistler,WF10 5HX,Castleford,West Yorkshire,England,Yorkshire And The Humber,Not Specified,infacol.co.uk,Not Provided,Single Site,Not Provided,Not Provided,Not Provided,Alternative Medicine Massages,50.0,12000000.0,original,1.0,"Teva Uk Ridings Point, , Whistler",True,,False,Invalid format,,,Missing,True,,True,,False,Invalid founded date,False,,False
5844,Hairology Hairloss Clinic,542A,,Chorley Old Road,BL1 6AB,Bolton,Lancashire,England,North West England,Not Specified,Unknown Domain,Not Provided,Single Site,Not Provided,2017-03-24,8.0,Wellness Center,Unknown,5000000.0,original,1.0,"542A, , Chorley Old Road",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
6637,Ee,44 The Mercat Centre,,,KY1 1NU,Kirkcaldy,Fife,Scotland,Scotland,Not Specified,shop.ee.co.uk,8450971151.0,Branch,Not Provided,Not Provided,Not Provided,Mobile Phones,Unknown,8000000.0,original,1.0,44 The Mercat Centre,False,Too short,False,Invalid format,8450971151,True,,True,,True,,False,Invalid founded date,False,,False
2402,Kendal Mot And Service Centre,Unit 10 Dockray Hall Industrial Estate,,Dockray Hall Road,LA9 4RU,Kendal,Cumbria,England,North West England,Not Specified,Unknown Domain,1539738341.0,Single Site,Not Provided,Not Provided,Not Provided,MOT Testing centers/ Garages,50.0,12000000.0,original,1.0,"Unit 10 Dockray Hall Industrial Estate, , Dockray Hall Road",True,,False,Invalid format,1539738341,True,,True,,True,,False,Invalid founded date,False,,False
4787,X-Ray Touring,Unit A5 Tileyard Studios,,105 Blundell Street,N7 9BN,London,London,England,London,Not Specified,xraytouring.com,2077493500.0,Head Office,info@xraytouring.com,Not Provided,Not Provided,Concert organizers,Unknown,12000000.0,original,1.0,"Unit A5 Tileyard Studios, , 105 Blundell Street",True,,True,,2077493500,True,,True,,True,,False,Invalid founded date,False,,False
3076,Nwf Fuels Mansfield,Nwf Fuels Ltd Nunn Brook Road,,Huthwaite,NG17 2HU,Sutton In Ashfield,Nottinghamshire,England,East Midlands,Not Specified,nwffuels.co.uk,1159619414.0,Branch,Not Provided,Not Provided,Not Provided,Fuel Dealers,200.0,3000000.0,original,1.0,"Nwf Fuels Ltd Nunn Brook Road, , Huthwaite",True,,False,Invalid format,1159619414,True,,True,,True,,False,Invalid founded date,False,,False
7167,A G Price Florist,"217-219,Well Street",Hackney,,E9 6QU,London,London,England,London,Not Specified,agpriceflowers.co.uk,2089864946.0,Branch,agpriceflorist@aol.com,Not Provided,Not Provided,Florists,200.0,4418203.602538501,model_imputed,0.6,"217-219,Well Street, Hackney",True,,True,,2089864946,True,,True,,True,,False,Invalid founded date,False,,False
5278,Menkind,Unit Su48 West Quay Shopping Centre,,Portland Terrace,SO15 1QD,Southampton,Hampshire,England,South East England,Not Specified,menkind.co.uk,2380231862.0,Branch,enquiries@menkind.co.uk,Not Provided,Not Provided,Gift& Specialty Shops,Unknown,12000000.0,original,1.0,"Unit Su48 West Quay Shopping Centre, , Portland Terrace",True,,True,,2380231862,True,,True,,True,,False,Invalid founded date,False,,False
6470,Ee,Unit 146 Level 1 Mall,South,Derbion Shopping Center,DE1 2PQ,Derby,Derbyshire,England,East Midlands,United Kingdom,ee.co.uk,1332374650.0,Branch,Not Provided,1989-10-05,36.0,Unknown Industry,20.0,6102412.147682283,median_imputed,0.5,"Unit 146 Level 1 Mall, South, Derbion Shopping Center",False,Too short,False,Invalid format,1332374650,True,,True,,True,,True,,True,,False
1800,G&R Auto Repairs Ltd,Unit 14 Barking Industrial Park,,Alfreds Way,IG11 0TJ,Barking,Essex,England,East of England,England,grautorepairs2020.wixsite.com,2074760890.0,Single Site,Not Provided,2019-11-28,6.0,Garage Mechanics/ Vehicle Repairs& Services,Unknown,8000000.0,original,1.0,"Unit 14 Barking Industrial Park, , Alfreds Way",True,,False,Invalid format,2074760890,True,,True,,True,,True,,True,,False
1930,Gsf Car Parts (Doncaster),Unit 12 Wheatley Hall Trade Park,,Wheatley Hall Road,DN2 4NH,Doncaster,South Yorkshire,England,Yorkshire And The Humber,Not Specified,Unknown Domain,1302762762.0,Single Site,Not Provided,Not Provided,Not Provided,Auto Parts& Supplies,50.0,8000000.0,original,1.0,"Unit 12 Wheatley Hall Trade Park, , Wheatley Hall Road",True,,False,Invalid format,1302762762,True,,True,,True,,False,Invalid founded date,False,,False
5663,Wickes Haverfordwest,Unit B Springfield Retail Park,,Fishguard Road,SA61 2AT,Haverfordwest,Dyfed,Wales,Wales,United Kingdom,wickes.co.uk,1437823300.0,Branch,Not Provided,1984-08-13,41.0,Home Improvement& Hardware Retail,Unknown,5000000.0,original,1.0,"Unit B Springfield Retail Park, , Fishguard Road",True,,False,Invalid format,1437823300,True,,True,,True,,True,,True,,False
1545,Eros Song,Block D 18 Riverstone Heights,,Reed Venue,E3 3ZE,London,London,England,London,Not Specified,erossong.com,Not Provided,Single Site,Not Provided,2022-12-24,2.0,Sex Shops/ Adult Entertainment Stores,100.0,3000000.0,original,1.0,"Block D 18 Riverstone Heights, , Reed Venue",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
5110,Greggs,U21 Springburn Shopping Centre,,Springburn Way,G21 1TS,Glasgow,Lanarkshire,Scotland,Scotland,United Kingdom,greggs.co.uk,1417267391.0,Branch,enquiries@greggs.co.uk,1951-12-29,73.0,Restaurants& Take Away Menus,50.0,12000000.0,original,1.0,"U21 Springburn Shopping Centre, , Springburn Way",True,,True,,1417267391,True,,True,,True,,True,,True,,False
429,Arnolds Produce,Hillcrest Barningham Road,,Stanton,IP31 2DU,Bury St Edmunds,Suffolk,England,East of England,Not Specified,arnoldsproduce.co.uk,1359251999.0,Single Site,info@arnoldsproduce.co.uk,Not Provided,Not Provided,Wholesale Fruit& Vegetables,50.0,3000000.0,original,1.0,"Hillcrest Barningham Road, , Stanton",True,,True,,1359251999,True,,True,,True,,False,Invalid founded date,False,,False
3600,Ruach Karate Kings Heath,Cocks Moors Woods Leisure Centre,,Road,B14 6ER,Birmingham,West Midlands,England,West Midlands,Not Specified,ruachkarate.co.uk,1218090601.0,Single Site,Not Provided,Not Provided,Not Provided,Martial Arts Instruction,Unknown,6102412.147682283,global_median,0.4,"Cocks Moors Woods Leisure Centre, , Road",True,,False,Invalid format,1218090601,True,,True,,True,,False,Invalid founded date,False,,False
7251,A S Networking Ltd,"29,Park Grove",Westbury-On-Trym,,BS9 4LF,Bristol,Avon,England,South West England,Not Specified,asnetworking.co.uk,Not Provided,Single Site,Not Provided,2015-03-27,10.0,Computer Networking& Cabling,50.0,3000000.0,original,1.0,"29,Park Grove, Westbury-On-Trym",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
5655,What2Buy4Kids,Unit 1B Bank Quay Trading Estate,,Slutchers Lane,WA1 1PJ,Warrington,Cheshire,England,North West England,Not Specified,Unknown Domain,1925234155.0,Single Site,Not Provided,Not Provided,Not Provided,Toy Shops,100.0,3000000.0,original,1.0,"Unit 1B Bank Quay Trading Estate, , Slutchers Lane",True,,False,Invalid format,1925234155,True,,True,,True,,False,Invalid founded date,False,,False
2651,M.Mills Building Contractors Ltd,Bizspace Atlantic Business Centre,,Atlantic Street,WA14 5NQ,Altrincham,Cheshire,England,North West England,United Kingdom,builderincheshire.com,1625460253.0,Single Site,info@builderincheshire.com,2001-04-05,24.0,Home/ House Builders,20.0,3000000.0,original,1.0,"Bizspace Atlantic Business Centre, , Atlantic Street",True,,True,,1625460253,True,,True,,True,,True,,True,,False
5749,Bristol City Supporters Club & Trust,Ashton Gate Stadium,,Ashton Road,BS3 2EJ,Bristol,Avon,England,South West England,United Kingdom,bristolcitysupporters.org,1173706146.0,Branch,info@bristolcitysupporters.org,1900-01-01,125.0,Fan Clubs,Unknown,12000000.0,original,1.0,"Ashton Gate Stadium, , Ashton Road",True,,True,,1173706146,True,,True,,True,,True,,True,,False
4481,Trident Gym Weston-Super-Mare,Unit A Winterstoke Trading Estate,,Phillips Road,BS23 3YR,Weston Super Mare,Avon,England,South West England,Not Specified,tridentgym.uk,1934910677.0,Branch,Not Provided,Not Provided,Not Provided,"Health Clubs, Gymnasiums& Beauty centers",20.0,5000000.0,original,1.0,"Unit A Winterstoke Trading Estate, , Phillips Road",True,,False,Invalid format,1934910677,True,,True,,True,,False,Invalid founded date,False,,False
1569,Eurocell Hastings,Unit A1 Castleham Industrial Estate,,Maunsell Road,TN38 9NN,St Leonards On Sea,East Sussex,England,South East England,Not Specified,Unknown Domain,3332341197.0,Single Site,Not Provided,Not Provided,Not Provided,Builders Merchants,200.0,4418203.602538501,model_imputed,0.6,"Unit A1 Castleham Industrial Estate, , Maunsell Road",True,,False,Invalid format,3332341197,True,,True,,True,,False,Invalid founded date,False,,False
6742,1 Space Projects Ltd,"42,Maltlands",,,BS22 8NZ,Weston Super Mare,Avon,England,South West England,Not Specified,1spaceprojects.com,Not Provided,Head Office,Not Provided,2017-09-03,8.0,Builders/ Construction Firm,100.0,12000000.0,original,1.0,"42,Maltlands",True,,False,Invalid format,,,Missing,True,,True,,True,,True,,False
6318,Ee,309 High Street,,,LN5 7DR,Lincoln,Lincolnshire,England,East Midlands,United Kingdom,ee.co.uk,1522551240.0,Branch,Not Provided,1989-10-05,36.0,Unknown Industry,200.0,3000000.0,original,1.0,309 High Street,False,Too short,False,Invalid format,1522551240,True,,True,,True,,True,,True,,False
